,GSM2054036,GSM2054037,GSM2054038,GSM2054039,GSM2054040,GSM2054041,GSM2054042,GSM2054043
GM9703,0,0,0,0,3,1,0,0
GM9710,1,2,1,1,3,1,1,1
GM9711,0,0,0,0,1,0,0,0
GM9719,0,0,0,0,0,0,0,0
GM9722,0,2,1,0,1,4,1,2
GM9723,0,0,0,0,0,0,0,0
GM9726,0,0,0,0,0,0,0,0
GM9727,0,0,0,0,0,0,0,2
GM9728,0,0,0,0,0,0,0,1
GM9729,0,0,0,0,0,0,0,1
GM973,5,8,2,2,10,13,2,5
GM9732,0,0,0,0,0,0,1,1
GM9733,0,0,1,1,2,4,1,0
GM9742,0,0,0,0,3,0,1,4
GM9745,0,1,0,0,2,0,0,0
GM9747,25,113,25,11,249,257,153,374
GM9755,0,0,0,0,0,0,0,0
GM9758,0,0,0,0,0,0,0,0
GM9761,24,43,0,6,26,0,0,7
GM9762,174,531,123,51,270,370,107,418
GM9765,0,0,0,0,1,0,0,0
GM9767,0,0,0,0,0,0,0,0
GM9769,89,358,77,36,329,366,141,485
GM9770,0,0,0,0,0,0,0,0
GM9771,0,0,0,0,0,0,0,0
GM9772,0,1,0,0,0,0,0,0
GM9774,5,4,0,0,0,0,0,0
GM9775,4,16,3,0,26,27,11,44
GM9776,17,44,17,5,56,90,34,81
GM9780,52,180,37,20,129,128,67,166
GM9785,1,2,1,0,1,2,3,2
GM9788,0,0,0,0,0,0,0,0
GM9789,0,0,0,0,0,0,0,0
GM9790,64,188,40,13,63,72,32,66
GM9791,2,0,0,0,0,2,0,0
GM9794,235,876,190,73,693,937,405,865
GM9795,0,0,0,3,8,0,0,0
GM9797,24,199,39,34,71,126,31,1
GM9800,0,4,0,0,0,5,0,0
GM9803,402,1562,349,175,363,443,160,452
GM9804,0,0,0,0,0,0,0,0
GM9805,0,0,0,0,0,0,0,0
GM9806,3,7,1,0,9,9,5,16
GM9812,1,9,0,1,2,13,2,10
GM9816,0,0,0,0,0,0,0,0
GM9817,0,2,0,0,1,1,3,4
GM9818,0,0,0,0,0,0,0,0
GM9821,6,18,6,2,35,58,21,46
GM9823,0,0,0,0,0,0,0,0
GM9824,0,1,0,0,0,1,0,0
GM9825,0,2,0,0,0,0,0,0
GM9826,0,0,0,0,0,0,0,0
GM9830,27,84,16,9,60,68,22,65
GM9833,3,0,0,0,0,0,0,0
GM9835,0,0,0,0,0,0,0,0
GM9836,0,0,0,0,0,0,2,0
GM9837,0,0,0,0,1,0,0,0
GM9840,0,0,0,0,4,0,6,0
GM9843,571,2839,489,239,1708,2154,830,2181
GM9844,0,0,0,0,0,0,0,0
GM9845,0,0,3,0,0,0,0,0
GM9847,0,0,0,0,0,0,0,0
GM9848,0,0,0,0,0,0,0,0
GM9850,0,0,0,0,0,0,0,0
GM9855,0,0,0,0,3,0,0,0
GM9857,0,0,0,0,0,0,0,0
GM9864,256,359,120,47,202,379,128,271
GM9869,6,20,7,1,9,8,5,11
GM9877,1,9,3,1,1,6,0,11
GM9881,5,7,2,0,3,8,2,2
GM9887,2,8,4,2,4,10,3,9
GM9890,0,0,0,0,0,0,0,0
GM9892,0,8,0,0,9,20,13,33
GM9894,0,0,0,0,0,0,0,0
GM9903,6,18,0,0,8,16,7,18
GM9913,2,4,0,0,3,7,0,0
GM9919,3,10,1,2,8,6,3,11
GM9920,3,14,2,2,15,17,5,10
GM9922,7,24,7,4,20,21,12,25
GM9923,0,30,0,0,0,5,8,12
GM9925,0,0,0,0,0,0,0,0
GM9930,0,0,0,0,0,5,2,0
GM9936,0,9,2,2,9,10,5,4
GM9938,231,668,172,71,175,209,90,246
GM9944,0,0,0,0,0,0,0,0
GM9945,0,4,0,0,0,0,1,2
GM9949,0,6,1,1,7,16,7,11
GM9955,0,0,0,0,0,0,0,0
GM9956,1,0,1,0,6,12,6,5
GM9958,13,35,9,2,32,19,18,33
GM9959,0,2,0,0,2,2,1,0
GM996,0,5,1,1,8,11,1,3
GM9961,3,4,1,0,76,90,50,90
GM9964,2,11,4,1,3,6,3,11
GM9970,0,4,1,0,7,3,2,3
GM9972,0,0,0,0,0,0,0,0
GM9974,0,2,0,0,3,2,2,1
GM9978,12,74,16,6,62,87,40,64
GM9979,0,0,0,0,0,0,0,0
GM9985,0,4,0,0,3,4,5,7
GM9987,1,1,0,0,0,0,1,3
GM9988,0,0,0,0,0,0,0,0
GM9992,1,11,0,0,38,73,31,44
GM9994,2,5,1,1,15,25,10,20
GM9996,0,0,0,0,0,0,0,0
GM9999,0,0,0,0,0,0,0,0
GMCL1L,0,0,0,0,0,0,0,0
GML2,0,0,0,0,0,0,0,0
GNG2-PS1,0,0,0,0,0,0,0,0
GOT2-PS1,0,0,0,0,0,0,0,0
GPI1,11027,40454,9568,3823,9624,13760,4779,12862
GPR165,2,1,1,1,2,1,1,3
GPR31B,0,2,0,0,1,2,1,1
GPR89,314,1027,225,76,419,499,214,567
GPX2-PS1,0,0,0,0,0,1,0,1
GRCC10,312,951,215,92,935,1246,473,1376
GRRP1,143,440,124,51,83,147,50,97
GSDMA2,3,4,0,0,4,3,5,4
GSDMA3,0,0,0,0,0,0,0,0
GSDMC2,0,0,0,0,0,0,0,0
GSDMC3,0,0,0,0,0,0,0,0
GSDMC4,1,2,1,0,0,1,0,2
GSDMCL-PS,0,0,0,0,0,0,0,0
GSDMCL1,0,0,0,0,0,0,0,0
GSDMCL2,0,2,0,0,4,9,2,8
GSTM2-PS1,1,0,0,0,1,0,0,0
GSTM6,4,32,8,4,5,22,5,23
GSTM7,80,166,41,21,136,124,83,160
GSTP2,15,56,7,6,104,119,81,228
GSTT3,39,110,26,13,131,172,65,155
GSTT4,12,42,8,5,5,6,2,8
GTPBP4-PS1,0,0,0,0,0,0,0,0
GTPBP4-PS2,0,0,0,0,0,0,0,0
GTPBP4-PS3,0,0,0,0,0,0,0,0
GTPBP4-PS4,0,0,0,0,0,0,0,0
GTPBP4-PS5,0,0,0,0,0,0,0,0
GTPBP4-PS6,0,0,0,0,0,0,0,0
GTPBP4-PS7,0,0,0,0,0,0,0,0
GUCY2E,2,0,0,0,1,0,0,4
GUCY2G,4,25,3,0,1,5,1,6
GULO,0,1,0,0,0,0,0,0
GVIN1,366,844,421,154,2240,2529,722,2650
GYG,1389,4906,1283,462,2627,4075,1422,3529
GYKL1,0,0,0,0,0,0,0,0
GYLTL1B,0,5,4,0,6,4,2,6
GZMC,0,1,0,0,1,2,2,0
GZMD,0,0,0,0,0,0,0,0
GZME,0,0,0,0,0,0,0,0
GZMF,0,0,0,0,0,0,0,0
GZMG,0,0,0,0,0,0,0,0
GZMN,0,0,0,0,0,0,0,0
H13,1112,4297,1000,405,1046,1294,484,1323
H2-AA,274,1101,416,78,1952,3125,669,2068
H2-AB1,194,758,299,54,1246,2174,483,1489
H2-BL,1,0,1,1,5,4,0,2
H2-D1,1874,7397,3253,647,7615,13647,4431,9991
H2-DMA,29,81,29,6,128,253,49,138
H2-DMB1,26,70,24,2,144,277,44,168
H2-DMB2,7,14,7,5,29,52,17,36
H2-EA-PS,0,0,0,0,0,0,0,0
H2-EB1,451,1857,536,137,1613,2623,547,1768
H2-EB2,0,1,1,0,10,7,4,4
H2-K1,1593,5914,2471,579,6348,11069,3628,8101
H2-K2,16,54,8,5,62,98,24,94
H2-KE6,436,1499,384,135,1239,1677,707,1747
H2-M1,2,2,0,0,0,0,0,0
H2-M10.1,0,0,0,0,0,2,0,0
H2-M10.2,0,0,0,1,1,0,1,0
H2-M10.3,0,0,0,0,0,0,0,0
H2-M10.4,0,0,0,0,0,0,0,0
H2-M10.5,0,0,0,0,0,0,0,0
H2-M10.5-PS1,0,1,0,0,0,0,0,0
H2-M10.6,0,0,0,0,0,0,0,0
H2-M11,0,0,0,0,0,0,1,2
H2-M2,0,0,0,0,5,7,4,6
H2-M3,23,73,30,10,95,127,30,110
H2-M5,1,3,0,0,3,3,0,5
H2-M6-PS,1,5,0,0,0,1,0,3
H2-M9,25,113,16,6,23,19,13,33
H2-OA,1,6,2,0,10,15,3,9
H2-OB,1,23,5,1,45,57,18,53
H2-PA,0,0,0,0,0,0,0,1
H2-PB,0,0,0,0,0,0,0,0
H2-Q1,3,1,0,1,10,14,1,6
H2-Q10,314,1532,328,130,1155,1623,571,1492
H2-Q2,1,3,0,0,5,8,6,10
H2-Q3,0,0,0,0,0,0,0,0
H2-Q4,219,774,376,113,1383,2000,719,1724
H2-Q5,41,72,50,16,249,336,141,330
H2-Q6,162,430,333,71,1025,1410,573,1212
H2-Q7,278,638,521,105,1639,2372,963,2029
H2-T10,8,44,26,6,52,78,24,63
H2-T22,769,2672,876,231,1602,2550,869,2102
H2-T23,149,520,272,52,735,1244,316,884
H2-T24,50,152,32,16,273,316,124,346
H2-T3,1,0,1,0,3,1,1,3
H2AF-PS,0,0,0,0,0,0,0,0
H2AFY3,0,0,3,0,0,0,0,0
H3F3A-PS1,0,0,0,0,0,1,0,0
H3F3A-PS2,0,3,2,0,0,0,0,0
H60B,4,8,3,0,19,30,9,29
H60C,2,2,1,1,1,1,0,0
HAMP2,0,0,0,0,2,0,0,0
HBA-A1,1254,7829,986,812,4158,4172,1096,4772
HBA-A2,2542,13845,1848,1448,8741,8402,2578,9151
HBA-PS4,0,1,0,0,3,1,0,1
HBA-X,0,0,0,0,0,0,0,0
HBB-BH0,0,0,0,0,0,0,0,0
HBB-BH1,0,0,0,0,0,0,0,0
HBB-BH2,0,0,0,0,0,0,0,0
HBB-BH3,0,0,0,0,0,0,0,0
HBB-BS,3098,18042,2115,1675,10691,10411,2964,10541
HBB-BT,454,2715,381,296,1702,1508,482,1523
HBB-Y,0,0,0,0,0,0,0,0
HBQ1A,0,0,0,0,1,0,0,0
HBQ1B,0,2,0,0,2,3,1,0
HC,0,1,1,0,0,0,0,2
HCFC1R1-PS1,0,0,0,0,0,0,0,0
HCFC1R1-PS2,0,0,0,0,0,0,0,0
HDGFRP2,174,655,149,46,545,700,315,761
HDGFRP3,103,472,86,48,263,366,153,388
HDHD1A,0,0,0,0,0,0,0,0
HIST1H2AF,0,3,0,0,2,2,0,0
HIST1H2AN,0,0,0,0,0,0,0,0
HIST1H2AO,0,0,0,0,0,0,0,0
HIST1H2AP,0,0,0,0,0,0,0,0
HIST1H2BP,0,7,0,0,1,0,0,3
HIST1H2BQ,4,0,6,0,2,7,0,2
HIST1H2BR,0,10,0,3,2,0,1,3
HIST1H4M,0,0,0,0,0,0,0,0
HIST1H4N,2,4,1,1,6,2,2,0
HIST2H2AA1,48,142,21,14,159,139,61,116
HIST2H2AA2,78,360,96,48,227,295,111,403
HIST2H3B,0,0,0,4,0,0,0,0
HIST2H3C1,84,196,61,8,46,55,21,56
HIST2H3C2,32,93,37,7,13,16,2,20
HIST2H4,7,7,2,1,10,16,7,13
HIST3H2BB-PS,0,3,1,0,0,1,0,0
HMGA1-RS1,0,0,3,0,0,4,6,8
HMGB1-PS1,0,1,0,0,3,0,0,0
HMGB1-PS2,0,4,0,0,7,10,0,11
HMGB1-PS3,0,0,0,0,2,6,4,9
HMGB1-PS4,0,0,0,0,1,0,0,1
HMGB1-PS5,0,2,0,0,0,0,0,3
HMGB1-PS6,0,0,0,0,1,0,0,0
HMGB1-PS7,0,0,0,0,4,0,0,0
HMGB1-PS8,0,5,0,0,12,5,3,6
HMGB1-PS9,1,0,0,0,1,0,0,0
HMGB1-RS16,0,1,0,0,1,2,0,2
HMGB1-RS17,0,0,0,0,1,2,0,1
HMGB1-RS18,0,1,1,0,0,0,2,0
HMGB1L,0,0,0,0,0,0,0,0
HMGB3-PS,0,1,0,0,0,0,0,1
HMGN2-PS1,0,0,0,0,0,0,0,0
HMGN2L6,0,0,0,0,0,0,0,0
HMHA1,27,176,75,9,190,424,98,231
HNRNPA1L2-PS,0,0,0,0,0,1,1,0
HPRT,325,1463,265,125,754,1074,366,1030
HSD3B3,0,1,1,0,0,1,0,0
HSD3B4,0,0,0,0,0,0,0,0
HSD3B5,0,0,0,0,0,0,0,0
HSD3B6,1,0,0,0,0,2,0,0
HSF3,1,6,1,0,15,13,9,10
HSP25-PS1,0,0,0,0,0,0,0,0
HSPA9-PS1,2,13,0,2,2,9,5,14
HSPD1-PS1,0,0,0,0,0,0,0,0
HSPD1-PS3,10,14,2,5,9,20,15,10
HSPD1-PS4,5,12,4,0,14,20,9,8
HSPE1-PS2,0,0,0,0,0,0,1,0
HSPE1-PS3,1,1,0,0,2,1,0,3
HSPE1-PS4,0,0,0,0,0,0,0,0
HSPE1-PS5,1,2,0,0,2,0,0,0
HSPE1-PS6,0,0,1,0,0,0,0,0
HTR5B,0,0,0,0,0,0,0,0
HYAL5,0,0,1,0,0,0,0,0
HYAL6,0,0,0,0,0,0,0,0
I0C0044D17RIK,4,3,0,0,4,3,5,3
I830077J02RIK,24,61,17,1,13,41,8,28
I830127L07RIK,0,1,0,0,2,0,1,3
ICOSL,15,82,17,9,72,86,35,70
ICT1,317,1187,257,102,335,414,201,459
IFI202B,0,0,0,0,0,0,0,0
IFI203,319,808,257,101,1441,1663,665,1768
IFI204,40,163,37,15,186,265,71,189
IFI205,65,157,51,27,172,183,51,168
IFI27L2A,283,1093,489,212,1194,1498,916,1453
IFI27L2B,1,11,0,2,26,18,6,24
IFI47,31,98,30,12,145,202,51,161
IFIT1BL1,1,8,4,0,10,23,5,20
IFIT1BL2,9,21,6,3,29,31,14,27
IFIT3B,22,45,12,3,86,164,38,124
IFITM6,3,2,2,0,6,17,3,2
IFITM7,1,9,2,2,7,6,0,4
IFNA-PS1,0,0,0,0,0,0,0,0
IFNA11,0,0,0,0,0,0,0,0
IFNA12,0,0,0,0,0,0,0,0
IFNA15,0,0,0,0,0,0,0,0
IFNA9,0,0,0,0,0,0,0,0
IFNAB,0,0,0,0,0,0,0,0
IFNZ,0,0,0,0,0,0,0,0
IGBP1B,0,0,0,0,0,0,0,0
IGHA,3,2,0,2,9,15,1,9
IGHD2-3,0,0,0,0,0,0,0,0
IGHD2-4,0,0,0,0,0,0,0,0
IGHD2-5,0,0,0,0,0,0,0,0
IGHD2-6,0,0,0,0,0,0,0,0
IGHD2-7,0,0,0,0,0,0,0,0
IGHD3-1,0,0,0,0,0,0,0,0
IGHD3-2,0,0,0,0,0,0,0,0
IGHD4-1,0,0,0,0,0,0,0,0
IGHD5-1,0,0,0,0,0,0,0,0
IGHD5-2,0,0,0,0,0,0,0,0
IGHD5-3,0,0,0,0,0,0,0,0
IGHD5-4,0,0,0,0,0,0,0,0
IGHD5-6,0,0,0,0,0,0,0,0
IGHD5-7,0,0,0,0,0,0,0,0
IGHD5-8,0,0,0,0,0,0,0,0
IGHD6-1,0,0,0,0,0,0,0,0
IGHD6-2,0,0,0,0,0,0,0,0
IGHG2B,0,0,0,0,0,0,0,3
IGHG2C,0,0,0,0,0,0,0,0
IGHV1-1,0,0,0,0,0,0,0,0
IGHV1-10,0,0,0,0,0,0,0,0
IGHV1-11,0,0,0,0,0,0,0,0
IGHV1-13,0,0,0,0,0,0,0,0
IGHV1-15,0,0,0,0,0,0,0,1
IGHV1-16,0,0,0,0,0,0,0,0
IGHV1-17-1,0,0,0,0,0,0,0,0
IGHV1-19,0,0,0,0,0,0,0,0
IGHV1-19-1,0,0,0,0,0,0,0,0
IGHV1-20,0,0,0,0,0,0,0,0
IGHV1-21,0,0,0,0,0,0,0,0
IGHV1-21-1,0,0,0,0,0,0,0,0
IGHV1-22,0,0,0,0,0,0,0,1
IGHV1-23,0,0,0,0,0,0,0,0
IGHV1-25,0,0,0,0,0,0,0,0
IGHV1-26,0,0,0,0,0,1,0,1
IGHV1-27,0,0,0,0,0,0,0,0
IGHV1-28,0,0,0,0,1,0,0,0
IGHV1-29,0,0,0,0,0,0,0,0
IGHV1-30,0,0,0,0,0,0,0,0
IGHV1-31,0,0,0,0,0,0,0,0
IGHV1-32,0,0,0,0,1,0,0,0
IGHV1-33,0,0,0,0,0,0,0,0
IGHV1-34,0,1,0,0,0,0,0,0
IGHV1-35,0,0,0,0,0,0,0,0
IGHV1-36,0,0,0,0,0,0,0,0
IGHV1-37,0,0,0,0,0,0,0,0
IGHV1-38,0,0,0,0,0,0,0,0
IGHV1-39,0,0,0,0,0,0,0,0
IGHV1-4,0,0,0,0,0,0,0,0
IGHV1-40,0,0,0,0,0,0,0,0
IGHV1-41,0,0,0,0,0,0,0,0
IGHV1-42,0,0,0,0,0,0,0,0
IGHV1-43,0,0,0,0,0,0,0,0
IGHV1-44,0,0,0,0,0,0,0,0
IGHV1-47,0,0,0,0,0,0,0,0
IGHV1-48,0,0,0,0,0,0,0,0
IGHV1-49,0,0,0,0,0,0,0,0
IGHV1-5,0,0,0,0,0,0,0,0
IGHV1-50,0,0,0,0,0,0,0,0
IGHV1-51,0,0,0,0,0,0,0,0
IGHV1-52,0,0,0,0,0,0,0,0
IGHV1-53,0,1,0,0,0,0,0,0
IGHV1-54,0,0,0,0,0,0,0,1
IGHV1-55,0,0,0,0,0,0,0,0
IGHV1-56,0,0,0,0,0,0,0,0
IGHV1-57,0,0,0,0,0,0,0,0
IGHV1-59,0,0,0,0,0,0,0,0
IGHV1-6,0,0,0,0,0,0,0,0
IGHV1-60,0,0,0,0,0,0,0,0
IGHV1-61,0,0,0,0,0,0,0,0
IGHV1-62,0,0,0,0,0,0,0,0
IGHV1-62-1,0,0,0,0,0,0,0,0
IGHV1-62-2,0,0,0,0,0,0,0,0
IGHV1-62-3,0,0,0,0,0,0,0,0
IGHV1-63,0,0,0,0,1,0,0,0
IGHV1-64,0,0,0,0,0,1,0,0
IGHV1-65,0,0,0,0,0,0,0,0
IGHV1-66,0,1,0,0,0,0,0,0
IGHV1-7,0,0,0,0,1,0,0,1
IGHV1-70,0,0,0,0,0,0,0,0
IGHV1-71,0,0,0,0,0,0,0,0
IGHV1-72,0,0,0,0,0,0,0,0
IGHV1-73,0,0,0,0,0,0,0,0
IGHV1-74,0,0,0,0,0,0,0,0
IGHV1-75,0,0,0,0,0,0,0,0
IGHV1-76,0,0,0,0,0,0,0,1
IGHV1-77,0,0,0,0,0,0,0,0
IGHV1-78,0,0,0,0,0,0,0,0
IGHV1-79,0,0,0,0,0,0,0,0
IGHV1-8,0,0,0,0,0,0,0,0
IGHV1-80,0,0,0,0,0,1,0,0
IGHV1-81,0,0,0,0,0,1,0,0
IGHV1-82,0,0,0,0,0,0,0,0
IGHV1-83,0,0,0,0,0,0,0,0
IGHV1-84,0,0,0,0,0,0,0,0
IGHV1-85,0,0,0,0,0,0,0,0
IGHV1-86,0,0,0,0,0,0,0,0
IGHV1-9,0,0,0,0,1,0,0,1
IGHV10-1,0,0,0,0,2,1,0,0
IGHV10-2,0,0,0,0,0,0,0,0
IGHV10-3,0,0,0,0,0,1,0,0
IGHV10-4,0,0,0,0,0,0,0,0
IGHV11-1,0,0,0,0,0,0,0,0
IGHV11-2,0,0,0,0,0,0,0,0
IGHV12-1,0,0,0,0,0,0,0,0
IGHV12-2,0,0,0,0,0,0,0,0
IGHV12-3,0,0,0,0,0,0,0,0
IGHV13-1,0,0,0,0,0,0,0,0
IGHV13-2,0,0,0,0,0,0,0,0
IGHV14-1,0,0,1,0,1,0,0,0
IGHV14-2,0,0,0,0,0,3,1,0
IGHV14-3,0,0,0,0,0,0,0,0
IGHV14-4,0,0,0,0,1,0,0,0
IGHV15-1,0,0,0,0,0,0,0,0
IGHV15-2,0,0,0,0,0,0,0,0
IGHV16-1,0,0,0,0,0,0,0,0
IGHV2-1,0,0,0,0,0,0,0,0
IGHV2-2,0,0,0,0,0,1,0,0
IGHV2-3,0,0,0,0,0,0,0,0
IGHV2-4,0,0,0,0,0,0,0,0
IGHV2-6,0,0,0,0,0,0,0,0
IGHV2-6-8,0,0,0,0,0,0,0,0
IGHV2-7,0,0,0,0,0,0,0,0
IGHV2-8,0,0,0,0,0,0,0,0
IGHV2-9,0,0,0,0,0,0,0,0
IGHV2-9-1,0,0,0,0,0,0,0,1
IGHV3-1,0,0,0,0,0,1,0,0
IGHV3-2,0,0,0,0,0,0,0,0
IGHV3-3,0,0,0,0,0,0,0,0
IGHV3-4,0,0,0,0,0,0,0,0
IGHV3-5,0,0,0,0,0,0,0,0
IGHV3-8,0,0,0,0,1,0,0,0
IGHV4-1,0,0,0,0,0,1,0,1
IGHV4-2,0,0,0,0,0,0,0,0
IGHV5-1,0,0,0,0,0,0,0,0
IGHV5-10,0,0,0,0,0,0,0,0
IGHV5-11,0,0,0,0,0,0,0,0
IGHV5-12,0,0,0,0,0,0,0,0
IGHV5-12-4,0,0,0,0,0,0,0,0
IGHV5-13,0,0,0,0,0,0,0,0
IGHV5-15,0,0,0,0,0,0,0,0
IGHV5-16,0,0,0,0,0,0,0,0
IGHV5-17,0,0,0,0,0,1,0,0
IGHV5-18,0,0,0,0,0,0,0,0
IGHV5-19,0,0,0,0,0,0,0,0
IGHV5-2,0,0,0,0,0,0,0,0
IGHV5-21,0,0,0,0,0,0,0,0
IGHV5-3,0,0,0,0,0,0,0,0
IGHV5-4,0,0,0,0,0,0,0,0
IGHV5-5,0,0,0,0,0,0,0,0
IGHV5-6,0,0,0,0,0,0,0,0
IGHV5-7,0,0,0,0,0,0,0,0
IGHV5-8,0,0,0,0,0,0,0,0
IGHV5-9,0,0,0,0,0,0,0,0
IGHV5-9-1,0,0,0,0,0,0,0,1
IGHV6-2,0,0,0,0,0,0,0,0
IGHV6-3,0,0,0,0,0,0,0,1
IGHV6-4,0,0,0,0,0,0,0,0
IGHV6-5,0,0,0,0,0,0,0,0
IGHV6-6,0,0,0,0,0,0,0,0
IGHV6-7,0,0,0,0,0,0,0,0
IGHV7-1,0,0,0,0,0,0,0,0
IGHV7-2,0,0,0,0,0,0,0,0
IGHV7-3,0,0,0,0,0,0,0,1
IGHV7-4,0,0,0,0,0,1,0,0
IGHV8-1,0,0,0,0,0,0,0,0
IGHV8-10,0,0,0,0,0,0,0,0
IGHV8-11,0,0,0,0,0,0,0,0
IGHV8-12,0,0,0,0,1,0,0,2
IGHV8-13,0,0,0,0,0,0,0,0
IGHV8-14,0,0,0,0,0,0,0,0
IGHV8-15,0,0,0,0,0,0,0,0
IGHV8-16,0,0,0,0,0,0,0,0
IGHV8-2,0,0,0,0,0,0,0,0
IGHV8-3,0,0,0,0,0,0,0,0
IGHV8-4,0,0,0,0,0,0,0,0
IGHV8-5,0,0,0,0,0,0,0,0
IGHV8-6,0,0,0,0,0,0,0,0
IGHV8-7,0,0,0,0,0,0,0,0
IGHV8-8,0,1,0,1,0,1,1,0
IGHV8-9,0,0,0,0,0,0,0,0
IGHV9-1,0,0,0,0,0,0,0,0
IGHV9-2,0,0,0,0,0,0,0,0
IGHV9-3,0,1,0,0,0,0,0,0
IGHV9-4,0,0,0,0,0,0,0,0
IGKV1-108,0,0,0,0,0,0,0,0
IGKV1-110,0,1,0,0,3,1,0,3
IGKV1-115,0,0,0,0,0,0,0,0
IGKV1-117,0,0,0,0,2,3,0,0
IGKV1-122,0,0,0,0,0,0,1,0
IGKV1-131,0,0,0,0,0,0,0,0
IGKV1-132,0,0,0,0,0,0,0,0
IGKV1-133,0,0,0,0,0,0,0,0
IGKV1-135,0,0,0,0,2,1,1,1
IGKV1-136,0,0,0,0,0,0,0,0
IGKV1-88,0,0,0,0,0,0,0,0
IGKV1-99,0,0,0,0,0,0,0,0
IGKV10-94,0,0,0,0,0,0,0,1
IGKV10-95,0,0,0,0,0,0,0,0
IGKV10-96,0,1,0,0,0,1,1,1
IGKV11-106,0,0,0,0,0,0,0,0
IGKV11-114,0,0,0,0,0,0,0,0
IGKV11-118,0,0,0,0,0,0,0,0
IGKV11-125,0,0,0,0,0,0,0,0
IGKV12-38,0,0,0,0,0,0,0,0
IGKV12-40,0,0,0,0,0,0,0,0
IGKV12-41,0,0,0,0,0,0,1,0
IGKV12-42,0,0,0,0,0,0,0,0
IGKV12-44,0,1,0,0,1,0,0,0
IGKV12-46,0,2,0,0,1,1,0,1
IGKV12-47,0,0,0,0,0,0,0,0
IGKV12-49,0,0,0,0,0,0,0,0
IGKV12-66,0,0,0,0,0,0,0,0
IGKV12-67,0,0,0,0,0,0,0,0
IGKV12-89,0,0,0,0,0,0,0,0
IGKV12-98,0,0,0,0,0,1,0,0
IGKV13-54-1,0,0,0,0,0,0,0,0
IGKV13-55-1,0,0,0,0,0,0,0,0
IGKV13-56-1,0,0,0,0,0,0,0,0
IGKV13-57-1,0,0,0,0,0,0,0,0
IGKV13-57-2,0,0,0,0,0,0,0,0
IGKV13-61-1,0,0,0,0,0,0,0,0
IGKV13-62-1,0,0,0,0,0,0,0,0
IGKV13-64,0,0,0,0,0,0,0,0
IGKV13-71-1,0,0,0,0,0,0,0,0
IGKV13-73-1,0,0,0,0,0,0,0,0
IGKV13-74-1,0,0,0,0,0,0,0,0
IGKV13-76,0,0,0,0,0,0,0,0
IGKV13-78-1,0,0,0,0,0,0,0,0
IGKV13-80-1,0,0,0,0,0,0,0,0
IGKV13-82,0,0,0,0,0,0,0,0
IGKV13-84,0,0,0,0,0,0,0,0
IGKV13-85,0,0,0,0,0,0,0,0
IGKV13-87,0,0,0,0,0,0,0,0
IGKV14-100,0,0,0,0,0,0,0,0
IGKV14-111,0,1,0,0,0,1,0,0
IGKV14-118-1,0,0,0,0,0,0,0,0
IGKV14-118-2,0,0,0,0,0,0,0,0
IGKV14-126,0,0,0,0,0,1,0,0
IGKV14-126-1,0,0,0,0,0,0,0,0
IGKV14-130,0,0,0,0,0,0,0,0
IGKV14-134-1,0,0,0,0,0,0,0,0
IGKV15-101,0,0,0,0,0,0,0,0
IGKV15-101-1,0,0,0,0,0,0,0,0
IGKV15-102,0,0,0,0,0,0,0,0
IGKV15-103,0,1,0,0,0,0,0,0
IGKV15-97,0,0,0,0,0,0,0,0
IGKV16-104,0,0,0,0,1,0,1,0
IGKV17-121,0,1,0,0,1,0,0,0
IGKV17-127,0,0,0,0,1,1,0,2
IGKV17-134,0,0,0,0,0,0,0,0
IGKV18-36,0,0,0,0,0,0,0,0
IGKV19-93,0,1,0,0,0,1,0,0
IGKV2-105,0,0,0,0,0,0,0,0
IGKV2-107,0,0,0,0,0,0,0,0
IGKV2-109,0,0,0,0,1,0,0,3
IGKV2-112,0,0,0,0,0,0,0,0
IGKV2-113,0,0,0,0,0,0,0,0
IGKV2-116,0,0,0,0,0,0,0,0
IGKV2-137,0,0,0,0,0,0,0,1
IGKV2-93-1,0,0,0,0,0,0,0,0
IGKV2-95-1,0,0,0,0,0,0,0,0
IGKV2-95-2,0,0,0,0,0,0,0,0
IGKV20-101-2,0,0,0,0,0,0,0,0
IGKV3-1,0,0,0,0,0,0,0,0
IGKV3-10,1,0,0,0,0,0,0,0
IGKV3-12,0,0,0,0,0,0,0,0
IGKV3-12-1,0,0,0,0,0,0,0,0
IGKV3-2,0,0,0,0,0,1,1,0
IGKV3-3,0,0,0,0,0,0,0,0
IGKV3-4,0,1,0,0,1,0,0,1
IGKV3-5,0,0,0,0,0,0,0,0
IGKV3-6,0,0,0,0,0,0,0,0
IGKV3-8,0,0,0,0,0,0,0,0
IGKV3-9,0,0,0,0,0,0,0,0
IGKV4-50,0,0,0,0,0,0,0,0
IGKV4-51,0,0,0,0,0,0,0,0
IGKV4-53,0,0,0,0,0,0,0,0
IGKV4-54,0,0,0,0,0,0,0,0
IGKV4-55,0,3,0,0,1,0,0,0
IGKV4-56,0,0,0,0,0,0,0,0
IGKV4-57,1,0,0,0,0,0,0,2
IGKV4-57-1,0,0,0,0,0,0,0,0
IGKV4-58,0,0,0,0,0,0,0,0
IGKV4-59,0,0,0,0,0,1,0,1
IGKV4-60,0,0,0,0,0,0,0,0
IGKV4-61,0,0,0,0,0,0,0,0
IGKV4-62,0,0,0,0,0,0,0,0
